Graph Name,#Sources,#Identified (Reserve),Avg Weight (Reserve),#Common (Reserve),#Identified (State),Avg Weight (State),#Common (State)
ER_n100_p0.15_graph_1,"['92', '95']","['96', '81']",1.5,[],"['50', '33']",1.5,[]
ER_n100_p0.15_graph_2,"['56', '68']","['3', '2']",1.5,[],"['2', '1']",2,[]
ER_n100_p0.15_graph_3,"['2', '58']","['41', '23']",1,[],"['74', '57']",1.5,[]
ER_n100_p0.15_graph_4,"['7', '45']","['91', '10']",1,[],"['38', '33']",1,[]
ER_n100_p0.15_graph_5,"['2', '57']","['63', '75']",1,[],"['39', '0']",2,[]
ER_n100_p0.15_graph_6,"['14', '59']","['27', '70']",1.5,[],"['70', '58']",1.5,[]
ER_n100_p0.15_graph_7,"['18', '56']","['10', '53']",1,[],"['0', '3']",2,[]
ER_n100_p0.15_graph_8,"['24', '63']","['12', '57']",1.5,[],"['48', '21']",1.5,[]
ER_n100_p0.15_graph_9,"['29', '52']","['29', '43']",1,['29'],"['72', '59']",1.5,[]
ER_n100_p0.15_graph_10,"['16', '46']","['16', '76']",0.5,['16'],"['86', '58']",1.5,[]
BA_n100_m6_graph_1,"['73', '77']","['0', '8']",1.5,[],"['0', '51']",2,[]
BA_n100_m6_graph_2,"['68', '73']","['15', '0']",1,[],"['8', '9']",1.5,[]
BA_n100_m6_graph_3,"['14', '60']","['10', '0']",1.5,[],"['0', '8']",1.5,[]
BA_n100_m6_graph_4,"['85', '94']","['0', '7']",1,[],"['7', '3']",1.5,[]
BA_n100_m6_graph_5,"['47', '85']","['8', '2']",1,[],"['37', '27']",2,[]
BA_n100_m6_graph_6,"['68', '86']","['0', '21']",1.5,[],"['7', '20']",1.5,[]
BA_n100_m6_graph_7,"['12', '21']","['10', '0']",1,[],"['0', '10']",1,[]
BA_n100_m6_graph_8,"['33', '61']","['7', '0']",1,[],"['7', '6']",1.5,[]
BA_n100_m6_graph_9,"['18', '79']","['7', '8']",1,[],"['8', '7']",1,[]
BA_n100_m6_graph_10,"['60', '86']","['0', '9']",1.5,[],"['0', '5']",1.5,[]
WS_n100_k7_p0.15_graph_1,"['64', '79']","['2', '55']",3,[],"['55', '47']",2.5,[]
WS_n100_k7_p0.15_graph_2,"['5', '60']","['61', '94']",2,[],"['94', '49']",3.5,[]
WS_n100_k7_p0.15_graph_3,"['9', '24']","['56', '21']",1,[],"['21', '41']",2.5,[]
WS_n100_k7_p0.15_graph_3,"['29', '93']","['32', '29']",3,['29'],"['21', '98']",2,[]
WS_n100_k7_p0.15_graph_5,"['12', '50']","['12', '45']",1,['12'],"['45', '76']",2.5,[]
WS_n100_k7_p0.15_graph_6,"['7', '56']","['31', '56']",1,['56'],"['31', '95']",2.5,[]
WS_n100_k7_p0.15_graph_7,"['13', '32']","['16', '33']",1,[],"['91', '76']",2,[]
WS_n100_k7_p0.15_graph_8,"['17', '19']","['75', '81']",3,[],"['81', '64']",3,[]
WS_n100_k7_p0.15_graph_9,"['14', '57']","['16', '19']",1.5,[],"['95', '33']",3,[]
WS_n100_k7_p0.15_graph_10,"['28', '30']","['22', '99']",4,[],"['22', '26']",2,[]
WS_n100_k7_p0.15_graph_1,"['2', '50', '63']","['5', '9', '12']",1.667,[],"['31', '19', '84']",3,[]
WS_n100_k7_p0.15_graph_2,"['18', '52', '90']","['81', '94', '25']",2,[],"['94', '35', '10']",2.667,[]
WS_n100_k7_p0.15_graph_3,"['39', '57', '94']","['92', '7', '9']",2,[],"['4', '96', '5']",2,[]
WS_n100_k7_p0.15_graph_4,"['63', '92', '98']","['92', '2', '1']",1,['92'],"['35', '64', '37']",2,[]
WS_n100_k7_p0.15_graph_5,"['9', '47', '48']","['50', '21', '47']",1,['47'],"['47', '17', '88']",1.333,['47']
WS_n100_k7_p0.15_graph_6,"['16', '56', '95']","['56', '61', '54']",2,['56'],"['67', '35', '5']",2.667,[]
WS_n100_k7_p0.15_graph_7,"['27', '69', '83']","['30', '34', '33']",2.333,[],"['91', '43', '20']",2.667,[]
WS_n100_k7_p0.15_graph_8,"['24', '53', '69']","['64', '88', '53']",1.667,['53'],"['70', '4', '25']",2,[]
WS_n100_k7_p0.15_graph_9,"['54', '56', '64']","['39', '89', '56']",1.667,['56'],"['94', '0', '61']",2.667,[]
WS_n100_k7_p0.15_graph_10,"['31', '37', '83']","['83', '54', '42']",2.333,['83'],"['87', '53', '41']",2.667,[]
BA_n100_m6_graph_1,"['1', '20', '39']","['0', '1', '9']",0.667,['1'],"['0', '9', '8']",1,[]
BA_n100_m6_graph_2,"['49', '57', '66']","['0', '9', '8']",1.667,[],"['10', '5', '8']",1.667,[]
BA_n100_m6_graph_3,"['0', '38', '70']","['0', '12', '10']",1,['0'],"['0', '12', '7']",0.667,['0']
BA_n100_m6_graph_4,"['25', '40', '62']","['0', '7', '9']",1,[],"['13', '19', '14']",1.333,[]
BA_n100_m6_graph_5,"['44', '57', '75']","['0', '9', '8']",1,[],"['0', '27', '13']",1.333,[]
BA_n100_m6_graph_6,"['4', '29', '52']","['0', '7', '20']",1.333,[],"['0', '7', '15']",1.333,[]
BA_n100_m6_graph_7,"['29', '39', '62']","['0', '10', '8']",1.333,[],"['5', '8', '13']",1,[]
BA_n100_m6_graph_8,"['14', '16', '70']","['7', '0', '9']",1.333,[],"['7', '0', '9']",1.333,[]
BA_n100_m6_graph_9,"['31', '50', '87']","['7', '8', '9']",1.333,[],"['7', '8', '29']",1.333,[]
BA_n100_m6_graph_10,"['38', '66', '84']","['9', '0', '8']",1.333,[],"['0', '9', '8']",1.333,[]
ER_n100_p0.15_graph_1,"['22', '68', '83']","['81', '96', '46']",1.333,[],"['11', '98', '81']",1.667,[]
ER_n100_p0.15_graph_2,"['53', '73', '84']","['32', '43', '2']",1.333,[],"['1', '14', '10']",1.667,[]
ER_n100_p0.15_graph_3,"['33', '40', '52']","['41', '78', '74']",1.333,[],"['58', '51', '41']",2,[]
ER_n100_p0.15_graph_4,"['15', '39', '93']","['39', '5', '60']",0.667,['39'],"['91', '8', '86']",1.667,[]
ER_n100_p0.15_graph_5,"['9', '40', '84']","['64', '50', '54']",1,[],"['13', '89', '39']",1.667,[]
ER_n100_p0.15_graph_6,"['5', '39', '42']","['87', '88', '5']",1,['5'],"['70', '58', '63']",1.667,[]
ER_n100_p0.15_graph_7,"['6', '19', '76']","['48', '6', '10']",1.333,['6'],"['17', '26', '43']",1.333,[]
ER_n100_p0.15_graph_8,"['1', '17', '50']","['56', '94', '12']",1.333,[],"['52', '57', '58']",1.667,[]
ER_n100_p0.15_graph_9,"['23', '29', '95']","['95', '43', '23']",1,"['23', '95']","['97', '30', '24']",1.333,[]
ER_n100_p0.15_graph_10,"['65', '66', '88']","['88', '54', '16']",0.667,['88'],"['86', '91', '90']",1.667,[]
ER_n10000_p0.15_graph_1,"['41', '130', '140', '151', '211', '303', '366', '385', '388', '398', '546', '652', '750', '842', '902', '1054', '1083', '1127', '1220', '1221', '1319', '1325', '1329', '1354', '1485', '1492', '1540', '1547', '1611', '1733', '1778', '1800', '1803', '1901', '1932', '2041', '2094', '2127', '2206', '2328', '2503', '2587', '2690', '2691', '2769', '2909', '3108', '3118', '3126', '3132', '3178', '3219', '3486', '3583', '3591', '3759', '3802', '3948', '4071', '4089', '4092', '4250', '4308', '4311', '4317', '4431', '4537', '4621', '4630', '4681', '4799', '4827', '4868', '4951', '5030', '5051', '5126', '5168', '5183', '5195', '5212', '5249', '5306', '5331', '5419', '5515', '5549', '5556', '5756', '5799', '5860', '5957', '5988', '6058', '6249', '6311', '6416', '6458', '6536', '6539', '6547', '6623', '6631', '6684', '6700', '6737', '6760', '6770', '6776', '6933', '6958', '7064', '7087', '7091', '7124', '7202', '7242', '7244', '7421', '7463', '7513', '7663', '7683', '7730', '7823', '7891', '7910', '8134', '8156', '8310', '8369', '8552', '8583', '8752', '8796', '8829', '8931', '8943', '8956', '9080', '9204', '9207', '9413', '9523', '9651', '9654', '9735', '9763', '9823', '9864']","['366', '1054', '3486', '4951', '6249', '750', '7064', '8956', '7513', '6623', '6311', '3108', '6547', '385', '902', '5515', '7463', '7244', '7891', '546', '4827', '3178', '5988', '5249', '1540', '2587', '9864', '6737', '8583', '388', '3132', '6539', '2769', '130', '303', '7823', '4621', '2127', '2206', '1220', '4431', '5195', '6416', '2909', '1803', '1127', '5419', '1354', '6958', '1932', '9204', '5957', '5799', '842', '5051', '5030', '4537', '5331', '9763', '2691', '5183', '7091', '1547', '9823', '6058', '140', '1319', '9413', '5549', '3591', '5126', '9651', '8156', '6700', '1221', '4092', '8796', '7124', '2094', '9654', '6458', '3126', '4317', '151', '1492', '4311', '211', '1329', '9080', '4071', '5212', '2041', '8310', '4089', '3118', '4250', '4308', '8369', '8931', '5168', '7730', '5756', '1325', '6770', '1901', '5860', '652', '398', '5556', '7202', '4681', '3583', '6684', '1733', '5306', '4868', '9735', '3759', '6760', '8943', '1611', '3802', '3948', '2690', '9523', '41', '6631', '7242', '8552', '7421', '2328', '2503', '4799', '1485', '7087', '1083', '6776', '6536', '8829', '7910', '9207', '1778', '6933', '8134', '8752', '3219', '7663', '1800', '4630', '7683']",0,"['5331', '1354', '8752', '2691', '3948', '8956', '750', '7891', '6760', '5306', '4250', '5051', '5549', '1325', '652', '303', '1054', '6311', '6631', '7202', '1329', '9413', '4317', '3118', '6058', '3583', '9207', '5212', '3486', '4951', '5249', '3591', '8583', '2503', '1547', '4092', '9651', '1485', '2690', '1492', '130', '6416', '8943', '4308', '2094', '7513', '151', '6684', '211', '3178', '9763', '1901', '7663', '8156', '9735', '7242', '3132', '5860', '2909', '1611', '1803', '2127', '4311', '4431', '8931', '1800', '9823', '7087', '1127', '5957', '5030', '6539', '6536', '9864', '8134', '546', '1083', '8310', '398', '41', '5515', '6737', '9654', '388', '902', '6249', '7463', '6958', '9204', '5195', '8829', '5988', '4681', '1778', '1220', '9080', '1932', '7244', '1221', '5419', '5183', '385', '1733', '366', '4827', '4868', '3759', '6776', '5168', '7730', '7064', '8369', '6623', '4621', '1319', '4071', '7910', '3219', '6547', '140', '2206', '8796', '7091', '7124', '3126', '6700', '2328', '7823', '6458', '2041', '5126', '6770', '3108', '2587', '2769', '4537', '5556', '3802', '4630', '5799', '5756', '6933', '7683', '7421', '8552', '4799', '9523', '842', '4089', '1540']","['2316', '2588', '2536', '2142', '2330', '2240', '2236', '2224', '2529', '2440', '2162', '2187', '2467', '2304', '2161', '2268', '2212', '2547', '2334', '2325', '2355', '2423', '2337', '2372', '2168', '2572', '2406', '2385', '3486', '2592', '2439', '2568', '2095', '2669', '2091', '2699', '2462', '2363', '2278', '2152', '2435', '2343', '2147', '2257', '2523', '2821', '2599', '2077', '2740', '2410', '2419', '2416', '2338', '2396', '2511', '2492', '2679', '2429', '2526', '2456', '2357', '2351', '2331', '2377', '2527', '2324', '2482', '2159', '2229', '2539', '2364', '2512', '2137', '2413', '2629', '2917', '2876', '2398', '3020', '2579', '2844', '2550', '2470', '3013', '2401', '2898', '2319', '2225', '2296', '2506', '2373', '2518', '2203', '2475', '2234', '2709', '2632', '2584', '2354', '2264', '2399', '2746', '2394', '2612', '2273', '2178', '2675', '2269', '2417', '2644', '2405', '2627', '2615', '2790', '2522', '2531', '2455', '2508', '2664', '2279', '2465', '2216', '2407', '2645', '2577', '2495', '2656', '2287', '2299', '2571', '2302', '2378', '2301', '2249', '2693', '2425', '2314', '2335', '2716', '2729', '2260', '2731', '2306', '2678', '2732', '2737', '2665', '2598', '2752', '2054']",0.993,['3486']
